client_id,product,product_description,price,rating,review_text,review_language,purchase_date
9058c7b2-e79f-4549-a017-f312e7434d8a,Thorfin FreshWash Compact Dishwasher,Countertop dishwasher with multiple wash programs and low water consumption.,357.17,5,"El Thorfin FreshWash Compact Dishwasher funciona bien hasta ahora, la calidad se ve sólida.",es,2024-03-20
85fb567e-a24c-45fc-8ed1-05841a856230,Thorfin ChefMaster Air Fryer,5L digital air fryer with preset cooking modes and easy-clean nonstick basket.,154.23,1,"Buena compra por el precio, aunque el Thorfin ChefMaster Air Fryer hace un poco de ruido. No estoy seguro de que volvería a comprar este modelo.",es,2024-09-12
21bff274-0a50-4301-b0e7-51f609ba712a,Thorfin FreshWash Compact Dishwasher,Countertop dishwasher with multiple wash programs and low water consumption.,363.83,5,Nutze den Thorfin FreshWash Compact Dishwasher nun regelmäßig und bisher funktioniert alles einwandfrei.,de,2025-09-08
c077150f-3e7e-41fd-9c28-94c982eb8b4e,Thorfin AeroTab Pro Tablet,"Lightweight 11-inch tablet with fast processor, stylus support, and all-day battery.",398.5,2,"Good value for the price. The Thorfin AeroTab Pro Tablet does what it promises, but it's a bit noisy. I might not buy this model again.",en,2024-07-06
69b39861-02ff-47b3-bcf2-33645cf59a95,Thorfin NovaX Wireless Earbuds,"True wireless earbuds with noise isolation, touch controls, and long battery life.",75.26,2,"Après quelques semaines, le Thorfin NovaX Wireless Earbuds fonctionne toujours sans souci. Je ne suis pas sûr de reprendre ce modèle à l'avenir.",fr,2025-06-17
e2aa5439-e3ad-4ffb-a51f-3dee21d7d6c1,Thorfin BrewMate Smart Coffee Maker,"Wi-Fi enabled coffee maker with app control, programmable timer, and keep-warm mode.",134.76,3,أستخدم الـ Thorfin BrewMate Smart Coffee Maker يوميًا تقريبًا ولم أواجه أي مشكلة حتى الآن.,ar,2024-04-03
1722999c-3051-4cd9-bee8-4d7e4de634a8,Thorfin SkySound Bluetooth Speaker,"Portable Bluetooth speaker with deep bass, water resistance, and 12-hour playback.",65.3,5,الـ Thorfin SkySound Bluetooth Speaker سهل الاستخدام والأداء جيد حتى الآن.,ar,2025-07-14
d24f742d-1625-4513-87e8-96c9f085969b,Thorfin ChillCube Mini Fridge,Compact mini fridge with adjustable shelves and low-noise compressor.,220.12,1,"Der Versand war schnell und der Thorfin ChillCube Mini Fridge war gut verpackt. Ich weiß nicht, ob ich dieses Modell noch einmal kaufen würde.",de,2024-05-12
d3e9f547-70b9-4888-9b7c-b3639d6759c2,Thorfin AeroTab Pro Tablet,"Lightweight 11-inch tablet with fast processor, stylus support, and all-day battery.",399.96,5,"Buena compra por el precio, aunque el Thorfin AeroTab Pro Tablet hace un poco de ruido.",es,2024-06-01
ecb640d5-1cab-4549-b986-7626b1c20d1d,Thorfin PureBreeze Air Purifier,HEPA air purifier for medium rooms with quiet mode and real-time air quality indicator.,174.37,5,جودة الـ Thorfin PureBreeze Air Purifier ممتازة مقارنة بالسعر.,ar,2024-10-05
bcf0033c-812a-4d7d-a6cd-ee72e6a3cc4d,Thorfin NovaX Wireless Earbuds,"True wireless earbuds with noise isolation, touch controls, and long battery life.",79.89,1,"The app for the Thorfin NovaX Wireless Earbuds could be better, but the hardware itself is excellent. I might not buy this model again.",en,2024-01-12
f260bdae-f32c-4f26-86f3-f044ce0526ee,Thorfin NeoCam Home Security Camera,"Wi-Fi indoor security camera with night vision, motion alerts, and two-way audio.",108.14,5,Instalar el Thorfin NeoCam Home Security Camera fue muy sencillo y las instrucciones son claras.,es,2025-01-17
aa804816-2adf-4bb4-b38d-931b1435e808,Thorfin ChillCube Mini Fridge,Compact mini fridge with adjustable shelves and low-noise compressor.,224.76,4,"The Thorfin ChillCube Mini Fridge is okay, but I expected better build quality at this price point.",en,2024-01-07
b58f3b0b-3e4b-4ca6-ae62-5591c7d373d4,Thorfin PureBreeze Air Purifier,HEPA air purifier for medium rooms with quiet mode and real-time air quality indicator.,196.05,1,"Der Thorfin PureBreeze Air Purifier lässt sich leicht einrichten und bedienen. Ich weiß nicht, ob ich dieses Modell noch einmal kaufen würde.",de,2025-03-01
983bab27-cb3c-497d-b1ee-dc5a5adf2d82,Thorfin ChefMaster Air Fryer,5L digital air fryer with preset cooking modes and easy-clean nonstick basket.,156.06,5,"The app for the Thorfin ChefMaster Air Fryer could be better, but the hardware itself is excellent.",en,2025-02-06
098e378b-3bd1-4284-ae00-7e072ea3debc,Thorfin NeoCam Home Security Camera,"Wi-Fi indoor security camera with night vision, motion alerts, and two-way audio.",98.94,3,"Le Thorfin NeoCam Home Security Camera fonctionne correctement, mais je trouve le niveau sonore un peu élevé.",fr,2025-11-19
ab37d399-506d-43b7-952a-c34bd094e199,Thorfin AeroTab Pro Tablet,"Lightweight 11-inch tablet with fast processor, stylus support, and all-day battery.",423.47,5,"Preis-Leistung passt, der Thorfin AeroTab Pro Tablet macht einen wertigen Eindruck.",de,2024-06-30
30ae6423-57a4-4f6c-9266-ca7668ddc7fa,Thorfin VoltCharge Power Bank,"20,000 mAh portable power bank with fast charging and dual USB-C ports.",41.93,2,أستخدم الـ Thorfin VoltCharge Power Bank يوميًا تقريبًا ولم أواجه أي مشكلة حتى الآن. لست متأكدًا أنني سأشتري هذا الطراز مرة أخرى.,ar,2024-04-10
40f11c0d-8e9d-40ba-b764-8ca34e779e2f,Thorfin BrewMate Smart Coffee Maker,"Wi-Fi enabled coffee maker with app control, programmable timer, and keep-warm mode.",128.07,1,"The app for the Thorfin BrewMate Smart Coffee Maker could be better, but the hardware itself is excellent. I might not buy this model again.",en,2025-09-18
f5f5fd92-8c86-4cbe-89f9-90bc7b659a7b,Thorfin ChillCube Mini Fridge,Compact mini fridge with adjustable shelves and low-noise compressor.,224.51,2,"Après quelques semaines, le Thorfin ChillCube Mini Fridge fonctionne toujours sans souci. Je ne suis pas sûr de reprendre ce modèle à l'avenir.",fr,2024-03-23
10dfa4a6-d017-4cc9-99e0-b60de9427143,Thorfin FreshWash Compact Dishwasher,Countertop dishwasher with multiple wash programs and low water consumption.,372.29,4,"Le Thorfin FreshWash Compact Dishwasher est arrivé bien emballé, aucune rayure ni défaut visible.",fr,2025-07-23
f3b0adcb-d72b-41c2-95fd-cbb3230ee19d,Thorfin NovaX Wireless Earbuds,"True wireless earbuds with noise isolation, touch controls, and long battery life.",86.7,5,Der Versand war schnell und der Thorfin NovaX Wireless Earbuds war gut verpackt.,de,2024-06-25
32b4adc2-dbdf-4ebc-912c-768c82728fad,Thorfin NovaX Wireless Earbuds,"True wireless earbuds with noise isolation, touch controls, and long battery life.",86.64,2,"After a few weeks of use, the Thorfin NovaX Wireless Earbuds still works like new. Hope it lasts. I might not buy this model again.",en,2024-05-03
94edf95a-7550-42e2-ad41-065bbb19aa2c,Thorfin ChefMaster Air Fryer,5L digital air fryer with preset cooking modes and easy-clean nonstick basket.,157.75,2,الـ Thorfin ChefMaster Air Fryer سهل الاستخدام والأداء جيد حتى الآن. لست متأكدًا أنني سأشتري هذا الطراز مرة أخرى.,ar,2024-07-30
1e7fa865-a135-4c19-8a32-54fd72db6e51,Thorfin SkySound Bluetooth Speaker,"Portable Bluetooth speaker with deep bass, water resistance, and 12-hour playback.",57.01,5,"Très content du Thorfin SkySound Bluetooth Speaker, l'installation a été simple et rapide.",fr,2024-01-08
e4cfb921-17ad-46d8-9574-50e20d558171,Thorfin SkySound Bluetooth Speaker,"Portable Bluetooth speaker with deep bass, water resistance, and 12-hour playback.",61.8,2,"The Thorfin SkySound Bluetooth Speaker is okay, but I expected better build quality at this price point. I might not buy this model again.",en,2024-04-09
843ebc78-8aa8-4859-bc09-9452ae57c07c,Thorfin NeoCam Home Security Camera,"Wi-Fi indoor security camera with night vision, motion alerts, and two-way audio.",99.14,2,استغرق الشحن وقتًا أطول من المتوقع لكن الـ Thorfin NeoCam Home Security Camera وصل بحالة جيدة. لست متأكدًا أنني سأشتري هذا الطراز مرة أخرى.,ar,2025-03-02
96e9c35b-1eee-4f2d-b716-3d49c2810212,Thorfin HyperKey Mechanical Keyboard,Mechanical gaming keyboard with programmable keys and customizable backlight.,118.59,2,Uso el Thorfin HyperKey Mechanical Keyboard casi todos los días y de momento no he tenido problemas. No estoy seguro de que volvería a comprar este modelo.,es,2024-09-09
